Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
58.23495,0.6050013,1.46902,0.5795733,0.6673031,-0.2058132,0.6456251,-0.3090563,0.2587215,0.003086445,0.3040237,0.7050804,1.46181,0.4521612,-0.1552161,-0.146358,-0.9029094,-0.3731516,0.4110659,0.05042056,0.05546355
58.36086,0.5976391,1.48018,0.6690744,0.6360024,-0.1648194,0.7015959,-0.2758599,-0.1206745,0.09687589,0.678043,0.7936323,1.472577,0.3846639,-0.2610682,-0.217235,-0.870504,-0.3561954,0.6881515,0.0708102,-0.5890023
58.48255,0.5417511,1.498163,0.7622529,0.5708073,-0.1323532,0.7461284,-0.3161551,-0.5135077,0.1539779,0.887022,0.858321,1.467727,0.2633683,-0.3988624,-0.2621577,-0.8166538,-0.3244361,0.6343427,-0.05361101,-1.166429
58.60282,0.4557099,1.50175,0.8461753,0.5134755,-0.09924286,0.7819452,-0.339198,-0.802089,0.02393319,0.8196771,0.8753592,1.449607,0.1307545,-0.4971252,-0.2647694,-0.7723693,-0.2936148,0.2104104,-0.176504,-1.269247
58.71342,0.3602204,1.485829,0.8969288,0.4621436,-0.09225499,0.8211594,-0.3218845,-0.8589412,-0.1517943,0.4891874,0.8491573,1.418217,0.01488482,-0.5802907,-0.2607316,-0.7127148,-0.2954984,-0.1955502,-0.314845,-1.116259
58.82343,0.2843386,1.466412,0.8971145,0.4414129,-0.08252457,0.8135759,-0.3693761,-0.7108968,-0.1702565,0.01968634,0.7914495,1.37928,-0.0544957,-0.6038089,-0.290944,-0.6597607,-0.339827,-0.5085303,-0.3912928,-0.6887841
58.93516,0.2190317,1.423903,0.8662266,0.4260415,-0.1085862,0.8072987,-0.3936578,-0.5865452,-0.3807523,-0.2506608,0.7215784,1.325012,-0.09231579,-0.6180874,-0.3034881,-0.6038694,-0.401503,-0.6139377,-0.5230337,-0.3804692
59.04596,0.1846325,1.380272,0.8218113,0.3990693,-0.1464637,0.7967071,-0.4295927,-0.3017589,-0.3995426,-0.3877276,0.6655445,1.281758,-0.1015449,-0.6216097,-0.3229145,-0.5610546,-0.4410729,-0.5134975,-0.4082685,-0.1002484
59.91792,0.4891005,1.624136,0.5696862,0.6932669,-0.232598,0.5423757,-0.4136518,0.1733873,-0.08420927,0.04132689,0.5742378,1.134893,0.2579636,-0.2674887,-0.2974857,-0.3871389,-0.8307078,-0.1638221,-0.07811068,0.106478
60.03448,0.4946635,1.591817,0.6212072,0.6697239,-0.2034786,0.6212447,-0.3523086,0.04278915,-0.3452718,0.5318294,0.6097407,1.161715,0.221432,-0.3030039,-0.2272467,-0.5882366,-0.7145106,0.379469,0.3228878,-0.3519278
