Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
22.86263,0.2289931,0.9906199,0.277651,-0.5431987,0.09106333,-0.7865824,0.2791613,-0.4681934,-0.05856284,0.376588,0.5170162,0.998165,0.02998859,0.2345913,0.217583,0.8647856,0.387002,0.2307252,-0.01574301,-0.3649153
22.99066,0.1208405,0.9779397,0.3211774,-0.4865853,0.08389816,-0.8412592,0.220179,-0.6972221,-0.1020979,0.2612217,0.5533423,0.9849796,-0.03776845,0.3016565,0.1985199,0.8514272,0.3803487,0.253071,-0.1138897,-0.4351575
23.10966,0.06013529,0.9684258,0.3231559,-0.4595169,0.09153393,-0.8511289,0.2367392,-0.6391577,-0.1083475,0.06188032,0.5666282,0.9743265,-0.075607,0.3283974,0.1937964,0.8396572,0.3867479,0.1558135,-0.1239823,-0.3997527
23.21572,0.006959837,0.9620954,0.3132328,-0.4388647,0.09281556,-0.8507208,0.273966,-0.4819878,-0.04079657,-0.06771562,0.5704544,0.9587086,-0.1109489,0.3467603,0.1950213,0.8193212,0.4128399,0.04900385,-0.160928,-0.3299842
23.3276,-0.03291015,0.9480003,0.2939396,-0.4223576,0.09399502,-0.8542298,0.2882196,-0.3738878,-0.134798,-0.1687801,0.5625703,0.9362036,-0.143776,0.366606,0.1799911,0.8036977,0.432751,-0.06326305,-0.2282948,-0.3001654
23.44393,-0.06258998,0.9202309,0.2572728,-0.4028168,0.1328266,-0.8597872,0.2843619,-0.2690192,-0.2880672,-0.3161415,0.5422484,0.9100487,-0.1765275,0.3901719,0.154355,0.7896742,0.4476107,-0.1858944,-0.2771481,-0.3026551
23.55852,-0.08409536,0.8904098,0.2074711,-0.3851129,0.1919545,-0.8484217,0.3082569,-0.169791,-0.2709914,-0.409552,0.5091346,0.8715291,-0.2174643,0.4457687,0.0731187,0.7589779,0.4689312,-0.279304,-0.403843,-0.3779191
23.67521,-0.09456804,0.8624852,0.1577736,-0.3632638,0.2713708,-0.8307139,0.3229737,-0.09489776,-0.2933188,-0.4659532,0.4926783,0.8881902,-0.2142436,0.4100802,0.09334411,0.7477512,0.513799,-0.09629411,0.1900314,0.0710929
23.79172,-0.08527574,0.85861,0.09974001,-0.3754183,0.3437699,-0.77134,0.3819921,0.1023008,-0.05237541,-0.588466,0.4530575,0.8772351,-0.2162921,0.4272414,-0.04908885,0.7543629,0.4959756,-0.3780006,-0.06902135,0.04981084
23.90573,-0.05833087,0.8726366,0.03881249,-0.4482791,0.4004251,-0.6998535,0.3858896,0.2801475,0.1471978,-0.6365053,0.4005218,0.8771202,-0.1914598,0.2892349,-0.1045088,0.8332404,0.4594907,-0.6316062,0.01086253,0.3104255
24.01598,-0.02956925,0.8918341,-0.01359489,-0.5494603,0.4293489,-0.6153862,0.3674953,0.246614,0.1926581,-0.57468,0.3235241,0.872395,-0.1769264,0.2038408,-0.1751099,0.827971,0.4921884,-0.8145547,-0.02544143,0.1988529
24.93382,0.3060876,1.047721,0.4172643,-0.4762561,0.07699106,-0.848123,0.2189527,0.1297154,0.2354694,0.3632667,0.4451158,1.054874,0.3390556,0.0573087,0.1328108,0.9392622,0.3112296,0.4831413,0.1880273,0.2471714
25.03394,0.2706183,1.063638,0.4514102,-0.4159442,0.04926535,-0.8814028,0.2183862,-0.3841615,0.191516,0.3924295,0.4975506,1.068329,0.3296305,0.1380793,0.1681729,0.9235787,0.3156811,0.6168313,0.1527212,-0.094868
25.14807,0.1687986,1.087411,0.4995579,-0.3468457,0.004028864,-0.9153584,0.2044527,-1.014611,0.2067001,0.4982984,0.578901,1.073458,0.2882012,0.211393,0.1850583,0.9165369,0.2846519,0.8017751,0.02549436,-0.4192248
25.26079,0.03923341,1.09705,0.5299916,-0.2538634,-0.01849186,-0.9463857,0.1989114,-1.260047,0.06505491,0.3120485,0.6562357,1.065851,0.2235486,0.2852871,0.1836252,0.904013,0.2601029,0.7601641,-0.08006977,-0.6318825
25.37094,-0.08525833,1.091788,0.5273972,-0.1808099,-0.02702351,-0.9650463,0.1877855,-1.165519,-0.06240317,-0.001597643,0.7254753,1.055369,0.1387931,0.360318,0.1871044,0.8778662,0.2539958,0.6878177,-0.1178088,-0.8219519
25.48341,-0.1801073,1.078687,0.4990998,-0.143075,-0.03443485,-0.9677432,0.2044919,-0.9033332,-0.1286807,-0.2423002,0.7679876,1.035044,0.04412488,0.4376764,0.188742,0.8420987,0.2523608,0.4196963,-0.2175699,-0.8990906
