Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ,HandCloseCount
34.08515,-0.8647134,1.662164,0.08367888,0.02927127,0.03682568,0.1856321,0.9814926,-0.4246558,0.03783935,-0.1002857,-0.6411409,1.659986,0.1328045,-0.102932,0.2077562,-0.09861847,-0.967738,0.1941884,-0.0553339,0.114306,0
34.19613,-0.9084002,1.661677,0.0572517,0.02491832,-0.03487484,0.1703084,0.9844581,-0.4527642,0.02189114,-0.2298564,-0.6038405,1.653581,0.1393286,-0.1197071,0.1728739,-0.09798091,-0.9727202,0.3336526,-0.07817791,0.05843996,0
34.30764,-0.9421814,1.655226,0.01942123,0.02948394,-0.09718196,0.1634178,0.981316,-0.3632591,-0.0480091,-0.333546,-0.5604046,1.636917,0.1335235,-0.142774,0.1389105,-0.1209663,-0.9724642,0.4046528,-0.1768075,-0.04370311,0
34.40788,-0.9614114,1.63615,-0.02175308,0.05700047,-0.1513504,0.1463893,0.9759171,-0.2557267,-0.1640429,-0.3793158,-0.5203592,1.613434,0.1153848,-0.1821034,0.1133099,-0.1330586,-0.9676232,0.3739689,-0.2305633,-0.1616984,0
34.51665,-0.9703667,1.610333,-0.06233574,0.1069881,-0.187144,0.1315674,0.967585,-0.1801335,-0.27281,-0.4360687,-0.485276,1.582602,0.08857853,-0.2283679,0.08020586,-0.1793157,-0.9535518,0.4028319,-0.3531804,-0.2786854,0
34.62732,-0.9786218,1.576377,-0.1178963,0.1654542,-0.2400151,0.1368967,0.9467191,-0.1280429,-0.3315269,-0.5363221,-0.4365669,1.5459,0.04089295,-0.3077857,0.02884855,-0.1861583,-0.9326204,0.4509958,-0.3895725,-0.4611069,0
34.73775,-0.9835341,1.539624,-0.190439,0.2244394,-0.3222189,0.1745569,0.9029573,-0.07537559,-0.3711923,-0.6998801,-0.3900756,1.513228,-0.02906596,-0.3993193,-0.03461036,-0.1689826,-0.9004394,0.4094823,-0.3730779,-0.6845774,0
34.84949,-0.9719138,1.505423,-0.2678304,0.2870828,-0.4019372,0.1940317,0.847574,0.05400926,-0.3621992,-0.7836837,-0.3510025,1.48053,-0.1250191,-0.5084185,-0.1157318,-0.1555234,-0.8390049,0.3445896,-0.3599986,-0.9335994,0
34.96113,-0.944813,1.486268,-0.3339131,0.3413642,-0.423263,0.1644523,0.8229668,0.1581997,-0.1892485,-0.6609385,-0.3394362,1.46488,-0.2292486,-0.598054,-0.1644049,-0.1349245,-0.7727211,0.1142121,-0.2011387,-1.007909,0
35.07253,-0.9239199,1.471209,-0.3893812,0.3971754,-0.430103,0.1687417,0.7929624,0.1484062,-0.1368371,-0.5676157,-0.3481235,1.462496,-0.3138325,-0.6651658,-0.2100912,-0.08569537,-0.7113876,-0.0972565,-0.06794618,-0.8505988,0
